yahoo_ticker,sector,industry,quote_type,sector_source
STWD,Real Estate,REIT - Mortgage,EQUITY,yfinance_info
STX,Technology,Computer Hardware,EQUITY,yfinance_info
STZ,Consumer Defensive,Beverages - Brewers,EQUITY,yfinance_info
SU,Energy,Oil & Gas Integrated,EQUITY,yfinance_info
SUN,Energy,Oil & Gas Refining & Marketing,EQUITY,yfinance_info
SUZ,Basic Materials,Paper & Paper Products,EQUITY,yfinance_info
SVU,,,MUTUALFUND,no_sector_in_info
SWK,Industrials,Tools & Accessories,EQUITY,yfinance_info
SWKS,Technology,Semiconductors,EQUITY,yfinance_info
SWN,,,NONE,no_sector_in_info
SWY,,,MUTUALFUND,no_sector_in_info
SXT,Basic Materials,Specialty Chemicals,EQUITY,yfinance_info
SYF,Financial Services,Credit Services,EQUITY,yfinance_info
SYK,Healthcare,Medical Devices,EQUITY,yfinance_info
SYMC,,,NONE,no_sector_in_info
SYT,,,NONE,no_sector_in_info
SYY,Consumer Defensive,Food Distribution,EQUITY,yfinance_info
T,Communication Services,Telecom Services,EQUITY,yfinance_info
TAL,Consumer Defensive,Education & Training Services,EQUITY,yfinance_info
TAP,Consumer Defensive,Beverages - Brewers,EQUITY,yfinance_info
TASR,,,MUTUALFUND,no_sector_in_info
TATE,,,,no_sector_in_info
TBL,,,MUTUALFUND,no_sector_in_info
TCEHY,Communication Services,Internet Content & Information,EQUITY,yfinance_info
TCK,,,MUTUALFUND,no_sector_in_info
TD,Financial Services,Banks - Diversified,EQUITY,yfinance_info
TDC,Technology,Software - Infrastructure,EQUITY,yfinance_info
TDS,Communication Services,Telecom Services,EQUITY,yfinance_info
TDSC,,,ETF,no_sector_in_info
TDW,Energy,Oil & Gas Equipment & Services,EQUITY,yfinance_info
TE,Industrials,Electrical Equipment & Parts,EQUITY,yfinance_info
TEF,,,,no_sector_in_info
TEL,Technology,Electronic Components,EQUITY,yfinance_info
TER,Technology,Semiconductor Equipment & Materials,EQUITY,yfinance_info
TEVA,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY,yfinance_info
TFC,Financial Services,Banks - Regional,EQUITY,yfinance_info
TFX,Healthcare,Medical Instruments & Supplies,EQUITY,yfinance_info
TGI,,,,no_sector_in_info
TGT,Consumer Defensive,Discount Stores,EQUITY,yfinance_info
THC,Healthcare,Medical Care Facilities,EQUITY,yfinance_info
THO,Consumer Cyclical,Recreational Vehicles,EQUITY,yfinance_info
THOR,,,NONE,no_sector_in_info
THRM,Consumer Cyclical,Auto Parts,EQUITY,yfinance_info
TIF,,,NONE,no_sector_in_info
TISI,Industrials,Specialty Business Services,EQUITY,yfinance_info
TJX,Consumer Cyclical,Apparel Retail,EQUITY,yfinance_info
TKR,Industrials,Tools & Accessories,EQUITY,yfinance_info
TLAB,,,MUTUALFUND,no_sector_in_info
TLLP,,,MUTUALFUND,no_sector_in_info
TLN,Utilities,Utilities - Independent Power Producers,EQUITY,yfinance_info
TM,Consumer Cyclical,Auto Manufacturers,EQUITY,yfinance_info
TMO,Healthcare,Diagnostics & Research,EQUITY,yfinance_info
TMUS,Communication Services,Telecom Services,EQUITY,yfinance_info
TOA,,,MUTUALFUND,no_sector_in_info
